stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
2594073,EL0024,"Avenida João César de Oliveira, 2415 (FUNEC)",,-19.94173475,-44.04239057,,,0,,,0,
2594074,EL0025,"Avenida João César de Oliveira, 2792 (Drogaria)",,-19.93843977,-44.04869654,,,0,,,0,
2594076,EL0027,"Avenida João César de Oliveira, 2999 (Antigo Iria Diniz)",,-19.93904738,-44.04765027,,,0,,,0,
2594077,EL0028,"Avenida João César de Oliveira, 3154 (Pç Paulo Pinheiro Chagas)",,-19.93853595,-44.0535036,,,0,,,0,
2594079,EL0030,"Avenida João César de Oliveira, 3613",,-19.93874716,-44.05292896,,,0,,,0,
2594080,EL0031,"Avenida João César de Oliveira, 3782 (Btl. Bombeiros)",,-19.93641899,-44.05968218,,,0,,,0,
2594081,EL0032,"Avenida João César de Oliveira, 4035",,-19.93881908,-44.05689845,,,0,,,0,
2594082,EL0033,"Avenida João César de Oliveira, 3460 (Hotel Amsterdam)",,-19.93862422,-44.05665709,,,0,,,0,
2594083,EL0034,"Avenida João César de Oliveira, 4370 (Prefaco)",,-19.93315395,-44.06358243,,,0,,,0,
2594084,EL0035,"Avenida João César de Oliveira, 4205 (Maxion)",,-19.93101679,-44.06656855,,,0,,,0,
2594085,EL0036,"Avenida João César de Oliveira, s/n (Isomonte)",,-19.93341865,-44.06373154,,,0,,,0,
2594086,EL0037,"Avenida João César de Oliveira, 4644 (Aymoré)",,-19.93097502,-44.06620997,,,0,,,0,
2594087,EL0038,"Avenida João César de Oliveira, 503",,-19.94456733,-44.03327529,,,0,,,0,
2594088,SE0008,"Avenida João César de Oliveira, 5415",,-19.92447882,-44.07257517,,,0,,,0,
2594089,SE0009,"Avenida João César de Oliveira, 5440 (18º Btl. PM), Funcionários",,-19.92504187,-44.07123286,,,0,,,0,
2594090,SE0010,"Avenida João César de Oliveira, 5775",,-19.92371162,-44.07383711,,,0,,,0,
2594091,SE0011,"Avenida João César de Oliveira, 5750",,-19.92329631,-44.0739138,,,0,,,0,
2594092,EL0039,"Avenida João César de Oliveira, 752 (E. E. Francisco Firmo de Matos)",,-19.94335948,-44.03533701,,,0,,,0,
2594093,EL0040,"Avenida João César de Oliveira, 953B",,-19.94265408,-44.03897325,,,0,,,0,
2594094,EL0041,"Avenida João César de Oliveira, 849 (Moto Fest)",,-19.94321692,-44.03649306,,,0,,,0,
2594096,RE0032,"Avenida João Gomes Cardoso, 2819",,-19.91207895,-44.03637343,,,0,,,0,
2594102,RE0035,"Avenida João Gomes Cardoso, s/n, Oitis",,-19.91136293,-44.0364012,,,0,,,0,
2594103,RE0034,"Avenida João Gomes Cardoso, 89",,-19.91427195,-44.03662495,,,0,,,0,
2594104,RE0036,"Avenida João Gomes Cardoso, 236",,-19.90562624,-44.03489529,,,0,,,0,
2594105,NA0003,"Avenida João Soares, s/n (L.O. nº 843), Parque Xangri-Lá",,-19.83321216,-44.02647638,,,0,,,0,
2594106,NA0005,"Avenida João Soares, s/n (L. O. 573)",,-19.83620334,-44.02251078,,,0,,,0,
2594107,NA0005,"Avenida João Soares, 563",,-19.83620968,-44.02263092,,,0,,,0,
2594108,,"Avenida João Soares, s/n (L. O. 1510)",,-19.83729821,-44.02110345,,,0,,,0,
2594111,EL0042,"Avenida José Faria da Rocha, 1117",,-19.9479577,-44.0388328,,,0,,,0,
2594112,EL0043,"Avenida José Faria da Rocha, 1146",,-19.94739169,-44.04001593,,,0,,,0,
2594113,EL0225,"Avenida José Faria da Rocha, 128",,-19.94486928,-44.03372684,,,0,,,0,
2594114,EL0044,"Avenida José Faria da Rocha, 1360",,-19.9462889,-44.04153594,,,0,,,0,
2594116,EL0046,"Avenida José Faria da Rocha, 1550",,-19.94544069,-44.04326907,,,0,,,0,
2594118,EL0048,"Avenida José Faria da Rocha, 1900",,-19.94320543,-44.0455067,,,0,,,0,
2594121,EL0051,"Avenida José Faria da Rocha, 2696 (Feirinha do Eldorado)",,-19.93856901,-44.04558163,,,0,,,0,
2594122,EL0052,"Avenida José Faria da Rocha, 2950 (Pão e Arte)",,-19.93688511,-44.04398024,,,0,,,0,
2594127,EL0057,"Avenida José Faria da Rocha, 370",,-19.94691384,-44.03260336,,,0,,,0,
2594140,EL0064,"Avenida José Faria da Rocha, 5780 (Sentido Cidade Industrial)",,-19.94183247,-44.02991034,,,0,,,0,
2594141,EL0065,"Avenida José Faria da Rocha, 5875 (Funerária Municipal)",,-19.94284659,-44.03102195,,,0,,,0,
2594142,EL0066,"Avenida José Faria da Rocha, 598",,-19.947685,-44.03452436,,,0,,,0,
2594143,EL0067,"Avenida José Faria da Rocha, 5994 (Sentido Bairro)",,-19.94272815,-44.03166588,,,0,,,0,
2594144,EL0068,"Avenida José Faria da Rocha, 6133",,-19.94313438,-44.0334766,,,0,,,0,
2594145,EL0069,"Avenida José Faria da Rocha, 101",,-19.94468297,-44.03373702,,,0,,,0,
2594146,EL0070,"Avenida José Faria da Rocha, 983",,-19.94804076,-44.03752484,,,0,,,0,
2594147,EL0071,"Avenida José Faria da Rocha, 899",,-19.94810739,-44.03677521,,,0,,,0,
2594148,EL0072,"Avenida José Faria da Rocha, 980",,-19.94791042,-44.03855896,,,0,,,0,
2594149,SE0013,"Avenida José Luís da Cunha, 60",,-19.90620631,-44.08116113,,,0,,,0,
2594150,SE0014,"Avenida José Luís da Cunha, 337",,-19.90667241,-44.08155651,,,0,,,0,
2594151,SE0015,"Avenida José Luiz Da Cunha, 497",,-19.90231659,-44.07920742,,,0,,,0,
2594152,SE0016,"Avenida José Luíz da Cunha, oposto 312",,-19.9043358,-44.08027101,,,0,,,0,
2594154,SE0018,"Rua Judith Naves de Lima, 40 (Paróquia Nossa Sr.ª do Carmo)",,-19.91685596,-44.06963228,,,0,,,0,
2594155,SE0019,"Rua Judith Naves de Lima, 432",,-19.92034973,-44.06926441,,,0,,,0,
2594156,SE0020,"Rua Judith Naves de Lima, 671",,-19.92239094,-44.06857227,,,0,,,0,
2594157,SE0021,"Rua Judith Naves de Lima, 794",,-19.92337182,-44.06837897,,,0,,,0,
2594158,IN0192,"Avenida Tereza Cristina, 10250",,-19.9743836,-44.0265204,,,0,,,0,
2594159,IN0059,"Avenida Juscelino Kubitscheck, 296",,-19.97285686,-44.02932293,,,0,,,0,
2594160,IN0060,"Avenida Juscelino Kubitscheck, 325",,-19.97305067,-44.02929571,,,0,,,0,
2594161,IN0061,"Avenida Juscelino Kubitscheck, 512",,-19.97175903,-44.0309643,,,0,,,0,
2594162,IN0062,"Avenida Juscelino Kubitscheck, 65",,-19.97401923,-44.02789637,,,0,,,0,
2594163,IN0063,"Avenida Juscelino Kubitscheck, 707",,-19.97105043,-44.03212766,,,0,,,0,
2594164,IN0064,"Avenida Juscelino Kubitscheck, 925",,-19.96960632,-44.03414112,,,0,,,0,
2594165,EL0073,"Avenida Marechal Castelo Branco, 294 (L. O. Sublime)",,-19.9445345,-44.02808489,,,0,,,0,
2594166,IN0065,"Avenida Marechal Castelo Branco, 675 (Direcional)",,-19.94726764,-44.02978515,,,0,,,0,
2594167,IN0066,"Avenida Maria da Glória, 100",,-19.9675687,-44.04024415,,,0,,,0,
2594168,IN0067,"Avenida Maria da Glória, 95",,-19.96758999,-44.04012271,,,0,,,0,
